seed,panel,weight,target_ratio,score
6,F,0.05,1.25,1.0
6,F,0.05,1.5,1.0
6,F,0.05,2.0,0.975
6,F,0.15,1.25,1.0
6,F,0.15,1.5,1.0
6,F,0.15,2.0,0.925
6,F,0.3,1.25,1.0
6,F,0.3,1.5,1.0
6,F,0.3,2.0,0.85
7,A,0.05,1.25,0.98
7,A,0.05,1.5,0.966667
7,A,0.05,2.0,0.95
7,A,0.15,1.25,0.94
7,A,0.15,1.5,0.9
7,A,0.15,2.0,0.85
7,A,0.3,1.25,0.88
7,A,0.3,1.5,0.8
7,A,0.3,2.0,0.7
7,B,0.05,1.25,1.0
7,B,0.05,1.5,1.0
7,B,0.05,2.0,0.975
7,B,0.15,1.25,1.0
7,B,0.15,1.5,1.0
7,B,0.15,2.0,0.925
7,B,0.3,1.25,1.0
7,B,0.3,1.5,1.0
7,B,0.3,2.0,0.85
7,C,0.05,1.25,1.0
7,C,0.05,1.5,1.0
7,C,0.05,2.0,0.9875
7,C,0.15,1.25,1.0
7,C,0.15,1.5,1.0
7,C,0.15,2.0,0.9625
7,C,0.3,1.25,1.0
7,C,0.3,1.5,1.0
7,C,0.3,2.0,0.925
7,D,0.05,1.25,1.0
7,D,0.05,1.5,0.983333
7,D,0.05,2.0,0.9625
7,D,0.15,1.25,1.0
7,D,0.15,1.5,0.95
7,D,0.15,2.0,0.8875
7,D,0.3,1.25,1.0
7,D,0.3,1.5,0.9
7,D,0.3,2.0,0.775
7,E,0.05,1.25,1.0
7,E,0.05,1.5,1.0
7,E,0.05,2.0,1.0
7,E,0.15,1.25,1.0
7,E,0.15,1.5,1.0
7,E,0.15,2.0,1.0
7,E,0.3,1.25,1.0
7,E,0.3,1.5,1.0
7,E,0.3,2.0,1.0
7,F,0.05,1.25,1.0
7,F,0.05,1.5,1.0
7,F,0.05,2.0,0.975
7,F,0.15,1.25,1.0
7,F,0.15,1.5,1.0
7,F,0.15,2.0,0.925
7,F,0.3,1.25,1.0
7,F,0.3,1.5,1.0
7,F,0.3,2.0,0.85
8,A,0.05,1.25,0.98
8,A,0.05,1.5,0.966667
8,A,0.05,2.0,0.95
8,A,0.15,1.25,0.94
8,A,0.15,1.5,0.9
8,A,0.15,2.0,0.85
8,A,0.3,1.25,0.88
8,A,0.3,1.5,0.8
8,A,0.3,2.0,0.7
8,B,0.05,1.25,1.0
8,B,0.05,1.5,1.0
8,B,0.05,2.0,0.975
8,B,0.15,1.25,1.0
8,B,0.15,1.5,1.0
8,B,0.15,2.0,0.925
8,B,0.3,1.25,1.0
8,B,0.3,1.5,1.0
8,B,0.3,2.0,0.85
8,C,0.05,1.25,1.0
8,C,0.05,1.5,1.0
8,C,0.05,2.0,0.9875
8,C,0.15,1.25,1.0
8,C,0.15,1.5,1.0
8,C,0.15,2.0,0.9625
8,C,0.3,1.25,1.0
8,C,0.3,1.5,1.0
8,C,0.3,2.0,0.925
8,D,0.05,1.25,1.0
8,D,0.05,1.5,0.983333
8,D,0.05,2.0,0.9625
8,D,0.15,1.25,1.0
8,D,0.15,1.5,0.95
8,D,0.15,2.0,0.8875
8,D,0.3,1.25,1.0
8,D,0.3,1.5,0.9
8,D,0.3,2.0,0.775
8,E,0.05,1.25,1.0
8,E,0.05,1.5,1.0
8,E,0.05,2.0,1.0
8,E,0.15,1.25,1.0
8,E,0.15,1.5,1.0
8,E,0.15,2.0,1.0
8,E,0.3,1.25,1.0
8,E,0.3,1.5,1.0
8,E,0.3,2.0,1.0
8,F,0.05,1.25,1.0
8,F,0.05,1.5,1.0
8,F,0.05,2.0,0.975
8,F,0.15,1.25,1.0
8,F,0.15,1.5,1.0
8,F,0.15,2.0,0.925
8,F,0.3,1.25,1.0
8,F,0.3,1.5,1.0
8,F,0.3,2.0,0.85
9,A,0.05,1.25,0.98
9,A,0.05,1.5,0.966667
9,A,0.05,2.0,0.95
9,A,0.15,1.25,0.94
9,A,0.15,1.5,0.9
9,A,0.15,2.0,0.85
9,A,0.3,1.25,0.88
9,A,0.3,1.5,0.8
9,A,0.3,2.0,0.7
9,B,0.05,1.25,1.0
9,B,0.05,1.5,1.0
9,B,0.05,2.0,0.975
9,B,0.15,1.25,1.0
9,B,0.15,1.5,1.0
9,B,0.15,2.0,0.925
9,B,0.3,1.25,1.0
9,B,0.3,1.5,1.0
9,B,0.3,2.0,0.85
9,C,0.05,1.25,1.0
